Year,AgeGrp,Scenario,BMI,Indicator,medval,lowval,highval,combined
2016,"[0,99]",No Shocks,Normal BMI,Number of TB cases,1484.279008,1377.08717,1596.033485,"1484.3 (1377.1, 1596)"
2016,"[0,99]",No Shocks,Overweight BMI,Number of TB cases,100.6578072,90.07932299,115.4759787,"100.7 (90.1, 115.5)"
2017,"[0,99]",Energy Price Shock,Mild thinness,TB incidence rate,267.6338128,247.7178953,287.9643204,"267.6 (247.7, 288)"
2017,"[0,99]",Energy Price Shock,Moderate to severe thinness,TB incidence rate,372.8440466,338.9879488,404.2276323,"372.8 (339, 404.2)"
2017,"[0,99]",Energy Price Shock,Normal BMI,TB incidence rate,180.067512,166.6190772,193.7124101,"180.1 (166.6, 193.7)"
2017,"[0,99]",Energy Price Shock,Overweight BMI,TB incidence rate,51.65436978,46.19290395,59.1863619,"51.7 (46.2, 59.2)"
2017,"[0,99]",Export and Energy Shocks,Mild thinness,TB incidence rate,267.6338128,247.7178953,287.9643204,"267.6 (247.7, 288)"
2017,"[0,99]",Export and Energy Shocks,Moderate to severe thinness,TB incidence rate,372.8440466,338.9879488,404.2276323,"372.8 (339, 404.2)"
2017,"[0,99]",Export and Energy Shocks,Normal BMI,TB incidence rate,180.067512,166.6190772,193.7124101,"180.1 (166.6, 193.7)"
2017,"[0,99]",Export and Energy Shocks,Overweight BMI,TB incidence rate,51.65436978,46.19290395,59.1863619,"51.7 (46.2, 59.2)"
2017,"[0,99]",Export Restriction Shock,Mild thinness,TB incidence rate,267.6338128,247.7178953,287.9643204,"267.6 (247.7, 288)"
2017,"[0,99]",Export Restriction Shock,Moderate to severe thinness,TB incidence rate,372.8440466,338.9879488,404.2276323,"372.8 (339, 404.2)"
2017,"[0,99]",Export Restriction Shock,Normal BMI,TB incidence rate,180.067512,166.6190772,193.7124101,"180.1 (166.6, 193.7)"
2017,"[0,99]",Export Restriction Shock,Overweight BMI,TB incidence rate,51.65436978,46.19290395,59.1863619,"51.7 (46.2, 59.2)"
2017,"[0,99]",No Shocks,Mild thinness,TB incidence rate,267.6338128,247.7178953,287.9643204,"267.6 (247.7, 288)"
2017,"[0,99]",No Shocks,Moderate to severe thinness,TB incidence rate,372.8440466,338.9879488,404.2276323,"372.8 (339, 404.2)"
2017,"[0,99]",No Shocks,Normal BMI,TB incidence rate,180.067512,166.6190772,193.7124101,"180.1 (166.6, 193.7)"
2017,"[0,99]",No Shocks,Overweight BMI,TB incidence rate,51.65436978,46.19290395,59.1863619,"51.7 (46.2, 59.2)"
2017,"[0,99]",Energy Price Shock,Mild thinness,Number of TB cases,488.346842,452.0029195,525.4083062,"488.3 (452, 525.4)"
2017,"[0,99]",Energy Price Shock,Moderate to severe thinness,Number of TB cases,475.0274447,431.922858,515.0062561,"475 (431.9, 515)"
2017,"[0,99]",Energy Price Shock,Normal BMI,Number of TB cases,1503.26179,1391.019031,1617.142107,"1503.3 (1391, 1617.1)"
2017,"[0,99]",Energy Price Shock,Overweight BMI,Number of TB cases,99.84215927,89.28676743,114.4020465,"99.8 (89.3, 114.4)"
2017,"[0,99]",Export and Energy Shocks,Mild thinness,Number of TB cases,488.346842,452.0029195,525.4083062,"488.3 (452, 525.4)"
2017,"[0,99]",Export and Energy Shocks,Moderate to severe thinness,Number of TB cases,475.0274447,431.922858,515.0062561,"475 (431.9, 515)"
2017,"[0,99]",Export and Energy Shocks,Normal BMI,Number of TB cases,1503.26179,1391.019031,1617.142107,"1503.3 (1391, 1617.1)"
2017,"[0,99]",Export and Energy Shocks,Overweight BMI,Number of TB cases,99.84215927,89.28676743,114.4020465,"99.8 (89.3, 114.4)"
2017,"[0,99]",Export Restriction Shock,Mild thinness,Number of TB cases,488.346842,452.0029195,525.4083062,"488.3 (452, 525.4)"
2017,"[0,99]",Export Restriction Shock,Moderate to severe thinness,Number of TB cases,475.0274447,431.922858,515.0062561,"475 (431.9, 515)"
2017,"[0,99]",Export Restriction Shock,Normal BMI,Number of TB cases,1503.26179,1391.019031,1617.142107,"1503.3 (1391, 1617.1)"
2017,"[0,99]",Export Restriction Shock,Overweight BMI,Number of TB cases,99.84215927,89.28676743,114.4020465,"99.8 (89.3, 114.4)"
2017,"[0,99]",No Shocks,Mild thinness,Number of TB cases,488.346842,452.0029195,525.4083062,"488.3 (452, 525.4)"
2017,"[0,99]",No Shocks,Moderate to severe thinness,Number of TB cases,475.0274447,431.922858,515.0062561,"475 (431.9, 515)"
2017,"[0,99]",No Shocks,Normal BMI,Number of TB cases,1503.26179,1391.019031,1617.142107,"1503.3 (1391, 1617.1)"
2017,"[0,99]",No Shocks,Overweight BMI,Number of TB cases,99.84215927,89.28676743,114.4020465,"99.8 (89.3, 114.4)"
2018,"[0,99]",Energy Price Shock,Mild thinness,TB incidence rate,264.0856962,244.057603,284.4066083,"264.1 (244.1, 284.4)"
2018,"[0,99]",Energy Price Shock,Moderate to severe thinness,TB incidence rate,368.5009161,334.0703207,400.0010365,"368.5 (334.1, 400)"
2018,"[0,99]",Energy Price Shock,Normal BMI,TB incidence rate,177.003444,163.8653626,190.6189514,"177 (163.9, 190.6)"
2018,"[0,99]",Energy Price Shock,Overweight BMI,TB incidence rate,50.75678926,45.25584959,58.17368295,"50.8 (45.3, 58.2)"
2018,"[0,99]",Export and Energy Shocks,Mild thinness,TB incidence rate,264.0856962,244.057603,284.4066083,"264.1 (244.1, 284.4)"
2018,"[0,99]",Export and Energy Shocks,Moderate to severe thinness,TB incidence rate,368.5009161,334.0703207,400.0010365,"368.5 (334.1, 400)"
2018,"[0,99]",Export and Energy Shocks,Normal BMI,TB incidence rate,177.003444,163.8653626,190.6189514,"177 (163.9, 190.6)"
2018,"[0,99]",Export and Energy Shocks,Overweight BMI,TB incidence rate,50.75678926,45.25584959,58.17368295,"50.8 (45.3, 58.2)"
2018,"[0,99]",Export Restriction Shock,Mild thinness,TB incidence rate,264.0856962,244.057603,284.4066083,"264.1 (244.1, 284.4)"
2018,"[0,99]",Export Restriction Shock,Moderate to severe thinness,TB incidence rate,368.5009161,334.0703207,400.0010365,"368.5 (334.1, 400)"
2018,"[0,99]",Export Restriction Shock,Normal BMI,TB incidence rate,177.003444,163.8653626,190.6189514,"177 (163.9, 190.6)"
2018,"[0,99]",Export Restriction Shock,Overweight BMI,TB incidence rate,50.75678926,45.25584959,58.17368295,"50.8 (45.3, 58.2)"
2018,"[0,99]",No Shocks,Mild thinness,TB incidence rate,264.0856962,244.057603,284.4066083,"264.1 (244.1, 284.4)"
2018,"[0,99]",No Shocks,Moderate to severe thinness,TB incidence rate,368.5009161,334.0703207,400.0010365,"368.5 (334.1, 400)"
2018,"[0,99]",No Shocks,Normal BMI,TB incidence rate,177.003444,163.8653626,190.6189514,"177 (163.9, 190.6)"
2018,"[0,99]",No Shocks,Overweight BMI,TB incidence rate,50.75678926,45.25584959,58.17368295,"50.8 (45.3, 58.2)"
2018,"[0,99]",Energy Price Shock,Mild thinness,Number of TB cases,475.6323423,439.5625021,512.2297113,"475.6 (439.6, 512.2)"
2018,"[0,99]",Energy Price Shock,Moderate to severe thinness,Number of TB cases,463.0891797,419.8237008,502.6603248,"463.1 (419.8, 502.7)"
2018,"[0,99]",Energy Price Shock,Normal BMI,Number of TB cases,1494.422506,1383.513135,1609.318998,"1494.4 (1383.5, 1609.3)"
2018,"[0,99]",Energy Price Shock,Overweight BMI,Number of TB cases,102.4938657,91.3857402,117.4701461,"102.5 (91.4, 117.5)"
2018,"[0,99]",Export and Energy Shocks,Mild thinness,Number of TB cases,475.6323423,439.5625021,512.2297113,"475.6 (439.6, 512.2)"
2018,"[0,99]",Export and Energy Shocks,Moderate to severe thinness,Number of TB cases,463.0891797,419.8237008,502.6603248,"463.1 (419.8, 502.7)"
2018,"[0,99]",Export and Energy Shocks,Normal BMI,Number of TB cases,1494.422506,1383.513135,1609.318998,"1494.4 (1383.5, 1609.3)"
2018,"[0,99]",Export and Energy Shocks,Overweight BMI,Number of TB cases,102.4938657,91.3857402,117.4701461,"102.5 (91.4, 117.5)"
2018,"[0,99]",Export Restriction Shock,Mild thinness,Number of TB cases,475.6323423,439.5625021,512.2297113,"475.6 (439.6, 512.2)"
2018,"[0,99]",Export Restriction Shock,Moderate to severe thinness,Number of TB cases,463.0891797,419.8237008,502.6603248,"463.1 (419.8, 502.7)"
2018,"[0,99]",Export Restriction Shock,Normal BMI,Number of TB cases,1494.422506,1383.513135,1609.318998,"1494.4 (1383.5, 1609.3)"
2018,"[0,99]",Export Restriction Shock,Overweight BMI,Number of TB cases,102.4938657,91.3857402,117.4701461,"102.5 (91.4, 117.5)"
2018,"[0,99]",No Shocks,Mild thinness,Number of TB cases,475.6323423,439.5625021,512.2297113,"475.6 (439.6, 512.2)"
2018,"[0,99]",No Shocks,Moderate to severe thinness,Number of TB cases,463.0891797,419.8237008,502.6603248,"463.1 (419.8, 502.7)"
2018,"[0,99]",No Shocks,Normal BMI,Number of TB cases,1494.422506,1383.513135,1609.318998,"1494.4 (1383.5, 1609.3)"
2018,"[0,99]",No Shocks,Overweight BMI,Number of TB cases,102.4938657,91.3857402,117.4701461,"102.5 (91.4, 117.5)"
2019,"[0,99]",Energy Price Shock,Mild thinness,TB incidence rate,260.4207498,240.1622753,280.7286814,"260.4 (240.2, 280.7)"
2019,"[0,99]",Energy Price Shock,Moderate to severe thinness,TB incidence rate,363.8822118,329.4913622,395.1286599,"363.9 (329.5, 395.1)"
2019,"[0,99]",Energy Price Shock,Normal BMI,TB incidence rate,173.9910953,161.0365597,187.3740051,"174 (161, 187.4)"
2019,"[0,99]",Energy Price Shock,Overweight BMI,TB incidence rate,49.85067756,44.41420791,57.18536903,"49.9 (44.4, 57.2)"
2019,"[0,99]",Export and Energy Shocks,Mild thinness,TB incidence rate,260.4207498,240.1622753,280.7286814,"260.4 (240.2, 280.7)"
2019,"[0,99]",Export and Energy Shocks,Moderate to severe thinness,TB incidence rate,363.8822118,329.4913622,395.1286599,"363.9 (329.5, 395.1)"
2019,"[0,99]",Export and Energy Shocks,Normal BMI,TB incidence rate,173.9910953,161.0365597,187.3740051,"174 (161, 187.4)"
2019,"[0,99]",Export and Energy Shocks,Overweight BMI,TB incidence rate,49.85067756,44.41420791,57.18536903,"49.9 (44.4, 57.2)"
2019,"[0,99]",Export Restriction Shock,Mild thinness,TB incidence rate,260.4207498,240.1622753,280.7286814,"260.4 (240.2, 280.7)"
2019,"[0,99]",Export Restriction Shock,Moderate to severe thinness,TB incidence rate,363.8822118,329.4913622,395.1286599,"363.9 (329.5, 395.1)"
2019,"[0,99]",Export Restriction Shock,Normal BMI,TB incidence rate,173.9910953,161.0365597,187.3740051,"174 (161, 187.4)"
2019,"[0,99]",Export Restriction Shock,Overweight BMI,TB incidence rate,49.85067756,44.41420791,57.18536903,"49.9 (44.4, 57.2)"
2019,"[0,99]",No Shocks,Mild thinness,TB incidence rate,260.4207498,240.1622753,280.7286814,"260.4 (240.2, 280.7)"
2019,"[0,99]",No Shocks,Moderate to severe thinness,TB incidence rate,363.8822118,329.4913622,395.1286599,"363.9 (329.5, 395.1)"
2019,"[0,99]",No Shocks,Normal BMI,TB incidence rate,173.9910953,161.0365597,187.3740051,"174 (161, 187.4)"
2019,"[0,99]",No Shocks,Overweight BMI,TB incidence rate,49.85067756,44.41420791,57.18536903,"49.9 (44.4, 57.2)"
2019,"[0,99]",Energy Price Shock,Mild thinness,Number of TB cases,465.1625408,428.976791,501.4284771,"465.2 (429, 501.4)"
2019,"[0,99]",Energy Price Shock,Moderate to severe thinness,Number of TB cases,448.8080509,406.4120841,487.3290789,"448.8 (406.4, 487.3)"
2019,"[0,99]",Energy Price Shock,Normal BMI,Number of TB cases,1486.019803,1375.400053,1600.287228,"1486 (1375.4, 1600.3)"
2019,"[0,99]",Energy Price Shock,Overweight BMI,Number of TB cases,104.5565832,93.15519999,119.9391738,"104.6 (93.2, 119.9)"
2019,"[0,99]",Export and Energy Shocks,Mild thinness,Number of TB cases,465.1625408,428.976791,501.4284771,"465.2 (429, 501.4)"
2019,"[0,99]",Export and Energy Shocks,Moderate to severe thinness,Number of TB cases,448.8080509,406.4120841,487.3290789,"448.8 (406.4, 487.3)"
2019,"[0,99]",Export and Energy Shocks,Normal BMI,Number of TB cases,1486.019803,1375.400053,1600.287228,"1486 (1375.4, 1600.3)"
2019,"[0,99]",Export and Energy Shocks,Overweight BMI,Number of TB cases,104.5565832,93.15519999,119.9391738,"104.6 (93.2, 119.9)"
2019,"[0,99]",Export Restriction Shock,Mild thinness,Number of TB cases,465.1625408,428.976791,501.4284771,"465.2 (429, 501.4)"
2019,"[0,99]",Export Restriction Shock,Moderate to severe thinness,Number of TB cases,448.8080509,406.4120841,487.3290789,"448.8 (406.4, 487.3)"
2019,"[0,99]",Export Restriction Shock,Normal BMI,Number of TB cases,1486.019803,1375.400053,1600.287228,"1486 (1375.4, 1600.3)"
2019,"[0,99]",Export Restriction Shock,Overweight BMI,Number of TB cases,104.5565832,93.15519999,119.9391738,"104.6 (93.2, 119.9)"
2019,"[0,99]",No Shocks,Mild thinness,Number of TB cases,465.1625408,428.976791,501.4284771,"465.2 (429, 501.4)"
2019,"[0,99]",No Shocks,Moderate to severe thinness,Number of TB cases,448.8080509,406.4120841,487.3290789,"448.8 (406.4, 487.3)"
2019,"[0,99]",No Shocks,Normal BMI,Number of TB cases,1486.019803,1375.400053,1600.287228,"1486 (1375.4, 1600.3)"
2019,"[0,99]",No Shocks,Overweight BMI,Number of TB cases,104.5565832,93.15519999,119.9391738,"104.6 (93.2, 119.9)"
2020,"[0,99]",Energy Price Shock,Mild thinness,TB incidence rate,256.4492669,236.117486,276.9715511,"256.4 (236.1, 277)"
2020,"[0,99]",Energy Price Shock,Moderate to severe thinness,TB incidence rate,359.3747586,324.9422877,391.0446882,"359.4 (324.9, 391)"
2020,"[0,99]",Energy Price Shock,Normal BMI,TB incidence rate,170.996965,157.7134489,184.298256,"171 (157.7, 184.3)"
2020,"[0,99]",Energy Price Shock,Overweight BMI,TB incidence rate,48.83012883,43.49733168,56.09559773,"48.8 (43.5, 56.1)"
2020,"[0,99]",Export and Energy Shocks,Mild thinness,TB incidence rate,256.4492669,236.117486,276.9715511,"256.4 (236.1, 277)"
2020,"[0,99]",Export and Energy Shocks,Moderate to severe thinness,TB incidence rate,359.3747586,324.9422877,391.0446882,"359.4 (324.9, 391)"
2020,"[0,99]",Export and Energy Shocks,Normal BMI,TB incidence rate,170.996965,157.7134489,184.298256,"171 (157.7, 184.3)"
2020,"[0,99]",Export and Energy Shocks,Overweight BMI,TB incidence rate,48.83012883,43.49733168,56.09559773,"48.8 (43.5, 56.1)"
2020,"[0,99]",Export Restriction Shock,Mild thinness,TB incidence rate,256.4492669,236.117486,276.9715511,"256.4 (236.1, 277)"
2020,"[0,99]",Export Restriction Shock,Moderate to severe thinness,TB incidence rate,359.3747586,324.9422877,391.0446882,"359.4 (324.9, 391)"
2020,"[0,99]",Export Restriction Shock,Normal BMI,TB incidence rate,170.996965,157.7134489,184.298256,"171 (157.7, 184.3)"
2020,"[0,99]",Export Restriction Shock,Overweight BMI,TB incidence rate,48.83012883,43.49733168,56.09559773,"48.8 (43.5, 56.1)"
2020,"[0,99]",No Shocks,Mild thinness,TB incidence rate,256.4492669,236.117486,276.9715511,"256.4 (236.1, 277)"
2020,"[0,99]",No Shocks,Moderate to severe thinness,TB incidence rate,359.3747586,324.9422877,391.0446882,"359.4 (324.9, 391)"
2020,"[0,99]",No Shocks,Normal BMI,TB incidence rate,170.996965,157.7134489,184.298256,"171 (157.7, 184.3)"
2020,"[0,99]",No Shocks,Overweight BMI,TB incidence rate,48.83012883,43.49733168,56.09559773,"48.8 (43.5, 56.1)"
2020,"[0,99]",Energy Price Shock,Mild thinness,Number of TB cases,456.5266251,420.3348596,493.0548266,"456.5 (420.3, 493.1)"
2020,"[0,99]",Energy Price Shock,Moderate to severe thinness,Number of TB cases,441.2930215,399.0034143,480.1642245,"441.3 (399, 480.2)"
2020,"[0,99]",Energy Price Shock,Normal BMI,Number of TB cases,1474.559821,1360.033275,1589.214672,"1474.6 (1360, 1589.2)"
2020,"[0,99]",Energy Price Shock,Overweight BMI,Number of TB cases,105.586771,94.05653967,121.2958459,"105.6 (94.1, 121.3)"
2020,"[0,99]",Export and Energy Shocks,Mild thinness,Number of TB cases,456.5266251,420.3348596,493.0548266,"456.5 (420.3, 493.1)"
2020,"[0,99]",Export and Energy Shocks,Moderate to severe thinness,Number of TB cases,441.2930215,399.0034143,480.1642245,"441.3 (399, 480.2)"
2020,"[0,99]",Export and Energy Shocks,Normal BMI,Number of TB cases,1474.559821,1360.033275,1589.214672,"1474.6 (1360, 1589.2)"
2020,"[0,99]",Export and Energy Shocks,Overweight BMI,Number of TB cases,105.586771,94.05653967,121.2958459,"105.6 (94.1, 121.3)"
2020,"[0,99]",Export Restriction Shock,Mild thinness,Number of TB cases,456.5266251,420.3348596,493.0548266,"456.5 (420.3, 493.1)"
2020,"[0,99]",Export Restriction Shock,Moderate to severe thinness,Number of TB cases,441.2930215,399.0034143,480.1642245,"441.3 (399, 480.2)"
2020,"[0,99]",Export Restriction Shock,Normal BMI,Number of TB cases,1474.559821,1360.033275,1589.214672,"1474.6 (1360, 1589.2)"
2020,"[0,99]",Export Restriction Shock,Overweight BMI,Number of TB cases,105.586771,94.05653967,121.2958459,"105.6 (94.1, 121.3)"
2020,"[0,99]",No Shocks,Mild thinness,Number of TB cases,456.5266251,420.3348596,493.0548266,"456.5 (420.3, 493.1)"
2020,"[0,99]",No Shocks,Moderate to severe thinness,Number of TB cases,441.2930215,399.0034143,480.1642245,"441.3 (399, 480.2)"
2020,"[0,99]",No Shocks,Normal BMI,Number of TB cases,1474.559821,1360.033275,1589.214672,"1474.6 (1360, 1589.2)"
2020,"[0,99]",No Shocks,Overweight BMI,Number of TB cases,105.586771,94.05653967,121.2958459,"105.6 (94.1, 121.3)"
2021,"[0,99]",Energy Price Shock,Mild thinness,TB incidence rate,252.6764093,231.9403958,273.5383825,"252.7 (231.9, 273.5)"
2021,"[0,99]",Energy Price Shock,Moderate to severe thinness,TB incidence rate,354.482234,319.7560335,386.2799134,"354.5 (319.8, 386.3)"
2021,"[0,99]",Energy Price Shock,Normal BMI,TB incidence rate,167.8631376,154.6352538,181.0207085,"167.9 (154.6, 181)"
2021,"[0,99]",Energy Price Shock,Overweight BMI,TB incidence rate,47.9159811,42.61533979,55.1173027,"47.9 (42.6, 55.1)"
2021,"[0,99]",Export and Energy Shocks,Mild thinness,TB incidence rate,252.6764093,231.9403958,273.5383825,"252.7 (231.9, 273.5)"
2021,"[0,99]",Export and Energy Shocks,Moderate to severe thinness,TB incidence rate,354.482234,319.7560335,386.2799134,"354.5 (319.8, 386.3)"
2021,"[0,99]",Export and Energy Shocks,Normal BMI,TB incidence rate,167.8631376,154.6352538,181.0207085,"167.9 (154.6, 181)"
2021,"[0,99]",Export and Energy Shocks,Overweight BMI,TB incidence rate,47.9159811,42.61533979,55.1173027,"47.9 (42.6, 55.1)"
